index,Title,Year,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors
0,Inception,2010,8.8,1,0,0,0,Christopher Nolan
1,The Matrix,1999,8.7,1,0,0,0,"Lana Wachowski,Lilly Wachowski"
2,Avengers: Infinity War,2018,8.5,1,0,0,0,"Anthony Russo,Joe Russo"
3,Back to the Future,1985,8.5,1,0,0,0,Robert Zemeckis
4,"The Good, the Bad and the Ugly",1966,8.8,1,0,1,0,Sergio Leone
5,Spider-Man: Into the Spider-Verse,2018,8.4,1,0,0,0,"Bob Persichetti,Peter Ramsey,Rodney Rothman"
6,The Pianist,2002,8.5,1,0,1,0,Roman Polanski
7,Django Unchained,2012,8.4,1,0,0,0,Quentin Tarantino
8,Raiders of the Lost Ark,1981,8.4,1,0,0,0,Steven Spielberg
9,Inglourious Basterds,2009,8.3,1,0,0,0,Quentin Tarantino
10,Taxi Driver,1976,8.3,1,0,0,0,Martin Scorsese
11,3 Idiots,2009,8.4,1,0,1,0,Rajkumar Hirani
12,Pan's Labyrinth,2006,8.2,1,0,0,0,Guillermo del Toro
13,Room,2015,8.1,1,0,0,0,Lenny Abrahamson
14,Monty Python and the Holy Grail,1975,8.2,1,0,0,0,"Terry Gilliam,Terry Jones"
15,Once Upon a Time in the West,1968,8.5,1,0,1,0,Sergio Leone
16,Indiana Jones and the Last Crusade,1989,8.2,1,0,0,0,Steven Spielberg
17,Groundhog Day,1993,8.0,1,0,0,0,Harold Ramis
18,The King's Speech,2010,8.0,1,0,0,0,Tom Hooper
19,Her,2013,8.0,1,0,0,0,Spike Jonze
20,There Will Be Blood,2007,8.2,1,0,0,0,Paul Thomas Anderson
21,The Social Network,2010,7.7,1,0,0,0,David Fincher
22,Dallas Buyers Club,2013,8.0,1,0,0,0,Jean-Marc Vallée
23,The Perks of Being a Wallflower,2012,8.0,1,0,0,0,Stephen Chbosky
24,Life of Brian,1979,8.1,1,0,0,0,Terry Jones
25,Ex Machina,2015,7.7,1,0,0,0,Alex Garland
26,Silver Linings Playbook,2012,7.7,1,0,0,0,David O. Russell
27,District 9,2009,7.9,1,0,0,0,Neill Blomkamp
28,The Irishman,2019,7.9,1,0,0,0,Martin Scorsese
29,Moon,2009,7.9,1,0,0,0,Duncan Jones
30,Marriage Story,2019,8.0,1,0,0,0,Noah Baumbach
31,Drive,2011,7.8,1,0,1,0,Nicolas Winding Refn
