index,Title,Year,IMDb,Netflix,Hulu,Prime Video,Disney+
0,Breaking Bad,2008,9.5,1,0,0,0
1,Stranger Things,2016,8.8,1,0,0,0
2,Money Heist,2017,8.4,1,0,0,0
3,Sherlock,2010,9.1,1,0,0,0
4,Better Call Saul,2015,8.7,1,0,0,0
5,The Office,2005,8.9,1,0,0,0
6,Black Mirror,2011,8.8,1,0,0,0
7,Supernatural,2005,8.4,1,0,0,0
8,Peaky Blinders,2013,8.8,1,0,0,0
9,Avatar: The Last Airbender,2005,9.2,1,0,0,0
10,The Walking Dead,2010,8.2,1,0,0,0
11,Dark,2017,8.7,1,0,0,0
12,Ozark,2017,8.4,1,0,0,0
13,Attack on Titan,2013,8.8,1,1,0,0
14,Narcos,2015,8.8,1,0,0,0
15,Fullmetal Alchemist: Brotherhood,2009,9.1,1,1,0,0
16,Community,2009,8.5,1,1,0,0
17,Mindhunter,2017,8.6,1,0,0,0
18,Parks and Recreation,2009,8.6,1,1,1,0
19,Dexter,2006,8.6,1,0,0,0
20,Marvel's Daredevil,2015,8.6,1,0,0,0
21,The Witcher,2019,8.3,1,0,0,0
22,Twin Peaks,1990,8.8,1,1,0,0
23,One-Punch Man,2015,8.8,1,1,0,0
24,Outlander,2014,8.4,1,0,0,0
25,House of Cards,2013,8.7,1,0,0,0
26,Shameless,2011,8.6,1,0,0,0
27,The Good Place,2016,8.2,1,1,0,0
28,The Haunting,2018,8.7,1,0,0,0
29,The Blacklist,2013,8.0,1,0,0,0
30,The Flash,2014,7.7,1,0,0,0
31,The Last Kingdom,2015,8.4,1,0,0,0
32,Mad Men,2007,8.6,1,0,0,0
33,Lucifer,2016,8.2,1,0,0,0
34,Orange Is the New Black,2013,8.1,1,0,0,0
35,Grey's Anatomy,2005,7.6,1,1,0,0
36,The End of the F***ing World,2017,8.1,1,0,0,0
37,Arrested Development,2003,8.7,1,1,0,0
38,The Vampire Diaries,2009,7.7,1,0,0,0
39,The Crown,2016,8.7,1,0,0,0
40,The 100,2014,7.7,1,0,0,0
41,When They See Us,2019,8.9,1,0,0,0
42,How to Get Away with Murder,2014,8.1,1,1,0,0
43,After Life,2019,8.5,1,0,0,0
44,Elite,2018,7.6,1,0,0,0
45,BoJack Horseman,2014,8.7,1,0,0,0
46,Never Have I Ever,2020,8.0,1,0,0,0
47,Penny Dreadful,2014,8.2,1,0,0,0
48,Marvel's Agents of S.H.I.E.L.D.,2013,7.5,1,0,0,0
49,Dead to Me,2019,8.1,1,0,0,0
50,Unorthodox,2020,8.1,1,0,0,0
51,Sense8,2015,8.3,1,0,0,0
52,Sacred Games,2018,8.7,1,0,0,0
53,American Crime Story,2016,8.4,1,0,0,0
54,Family Guy,1999,8.1,1,1,0,0
55,Pretty Little Liars,2010,7.4,1,1,0,0
56,Unbelievable,2019,8.4,1,0,0,0
57,Arrow,2012,7.6,1,0,0,0
58,The IT Crowd,2006,8.5,1,0,0,0
59,The Twilight Zone,1959,9.0,1,1,0,0
60,YOU,2018,7.8,1,0,0,0
61,Sex Education,2019,8.3,1,0,0,0
62,"Tiger King: Murder, Mayhem and Madness",2020,7.8,1,0,0,0
63,Star Trek: The Next Generation,1987,8.6,1,1,1,0
64,Broadchurch,2013,8.4,1,0,0,0
65,Kingdom,2019,8.4,1,0,0,0
66,Altered Carbon,2018,8.1,1,0,0,0
67,The Sinner,2017,8.0,1,0,0,0
68,"Love, Death & Robots",2019,8.5,1,0,0,0
69,Marvel's Jessica Jones,2015,8.0,1,0,0,0
70,New Girl,2011,7.7,1,0,0,0
71,The Good Wife,2009,8.3,1,1,1,0
72,The Umbrella Academy,2019,7.9,1,0,0,0
73,Marvel's The Punisher,2017,8.5,1,0,0,0
74,Ash vs Evil Dead,2015,8.4,1,0,0,0
75,Master of None,2015,8.3,1,0,0,0
76,Bodyguard,2018,8.1,1,0,0,0
77,Schitt's Creek,2015,8.4,1,0,1,0
78,Narcos: Mexico,2018,8.4,1,0,0,0
79,The West Wing,1999,8.8,1,0,0,0
80,Bates Motel,2013,8.2,1,0,0,0
81,Atypical,2017,8.3,1,0,0,0
82,Once Upon a Time,2011,7.7,1,0,0,0
83,Gomorrah,2014,8.7,1,0,0,0
84,Making a Murderer,2015,8.6,1,0,0,0
85,Death Note,2006,9.0,1,1,0,0
86,Castlevania,2017,8.2,1,0,0,0
87,Riverdale,2017,7.0,1,0,0,0
88,Burn Notice,2007,7.9,1,1,1,0
89,Fauda,2015,8.3,1,0,0,0
90,Russian Doll,2019,7.9,1,0,0,0
